transparent_spelling,opaque_spelling,non-contrastive_pronunciation,contrastive_pronunciation,testing_word,contrastive_word,phoneme_shift_count,word_familiarity
mab,mab,mab,NA,1,NA,NA,testing_word
skub,skub,skub,NA,1,NA,NA,testing_word
klEb,klEb,klEb,NA,1,NA,NA,testing_word
dOlk,dOlk,dOlk,NA,1,NA,NA,testing_word
suld,suld,suld,NA,1,NA,NA,testing_word
dikla,dikla,dikla,NA,1,NA,NA,testing_word
luskO,luskO,luskO,NA,1,NA,NA,testing_word
klufE,klufE,klufE,NA,1,NA,NA,testing_word
klOda,klOda,klOda,NA,1,NA,NA,testing_word
skOnEf,skOnEf,skOnEf,NA,1,NA,NA,testing_word
klusim,klusim,klusim,NA,1,NA,NA,testing_word
flabun,flabun,flabun,NA,1,NA,NA,testing_word
nEsk,nEsk,nEsk,nisx,0,1,2,training_word
skEfi,skEfi,skEfi,sxifi,0,1,2,training_word
blEkus,bnEkus,blEkus,blixus,0,1,2,training_word
flEsOd,flEsOd,flEsOd,flisO,0,1,2,training_word
nEf,nEf,nEf,nif,0,1,1,training_word
bEsmi,bEsmi,bEsmi,bismi,0,1,1,training_word
nal,nal,nal,nOl,0,1,1,training_word
daf,daf,daf,dOf,0,1,1,training_word
blaf,bnaf,blaf,blOf,0,1,1,training_word
balf,balf,balf,bOlf,0,1,1,training_word
dasmu,dasmu,dasmu,dOsmu,0,1,1,training_word
smadu,smadu,smadu,smOdu,0,1,1,training_word
kublE,kubnE,kublE,xublE,0,1,1,training_word
slOku,fnOku,slOku,slOxu,0,1,1,training_word
snid,fnid,snid,sni,0,1,1,training_word
fub,fub,fub,NA,0,0,NA,training_word
mif,mif,mif,NA,0,0,NA,training_word
lOm,lOm,lOm,NA,0,0,NA,training_word
snOf,fnOf,snOf,NA,0,0,NA,training_word
blim,bnim,blim,NA,0,0,NA,training_word
flOb,flOb,flOb,NA,0,0,NA,training_word
mOls,mOls,mOls,NA,0,0,NA,training_word
fOns,fOns,fOns,NA,0,0,NA,training_word
nifs,nifs,nifs,NA,0,0,NA,training_word
nOflE,nOflE,nOflE,NA,0,0,NA,training_word
dEsna,dEfna,dEsna,NA,0,0,NA,training_word
smiba,smiba,smiba,NA,0,0,NA,training_word
flidu,flidu,flidu,NA,0,0,NA,training_word
snibOl,fnibOl,snibOl,NA,0,0,NA,training_word
slinab,fninab,slinab,NA,0,0,NA,training_word